"id","t1","t2","t3","t4","t5"
"4067","41.49","34.31","43.94","64.78","12.81"
"4068","29.74","91.59","90.2","28.73","9.08"
"4069","66.52","84.77","28.71","14.77","10.82"
"4070","51.53","32.3","3.23","6.07","30.27"
"4071","44.61","77.27","99.89","71.03","86.86"
"4072","58.67","11.25","43.31","21.24","66.05"
"4073","78.71","21.08","86.04","1.6","65.93"
"4074","57.63","38.75","73.42","3.94","6.82"
"4075","99.77","44.81","22.11","72.73","46.53"
"4076","84.56","33.42","94.89","99.01","55.51"
"4077","6.58","38.15","57.79","58.12","77.97"
"4078","96.67","2.42","89.24","96.38","72.15"
"4079","18.04","94.22","22.8","50.56","29.4"
"4080","30.89","59.75","29.48","87.8","54.41"
"4081","0.33","28.86","72.01","13.13","26.56"
"4082","62.74","6.9","4.95","45.58","89.47"
"4083","95.1","39.57","47.73","85.31","5.72"
"4084","12.13","18.49","47.48","54.16","75.74"
"4085","70.68","38.45","67.6","82.97","43.94"
"4086","84.77","7.33","5.91","71.74","40.58"
"4087","69.19","53.9","72.29","95.65","72.37"
"4088","14.63","94.84","28.73","36.73","26.02"
"4089","13.95","39.58","76.33","98.54","64.52"
"4090","10.16","90.76","4.33","59.56","19.31"
"4091","24.51","13.25","66.12","80.55","33.08"
"4092","91.63","36.92","30.71","42.5","32.51"
"4093","31.97","59.22","74.26","68.53","17.16"
"4094","55.31","2.07","21.51","21.61","59.26"
"4095","90.86","97.1","57.14","20.86","92.28"
"4096","61.57","1","72.96","23.42","37.23"
"4097","45.96","25.03","94.95","49.24","15.44"
"4098","61","46.2","65.96","19.01","42.1"
"4099","48.94","75.92","61.57","22.68","33.58"
"4100","22.22","26.9","24.58","2.84","42.96"
"4101","1.8","90.36","71.14","78.18","14.99"
"4102","70.78","49.54","37.75","6.61","2.81"
"4103","88.93","17.79","73.38","37.27","34.89"
"4104","87.62","58.41","16.76","0.66","82.04"
"4105","79.55","10.94","40.85","83.35","41.19"
"4106","96.67","13.83","68.23","88.41","46.01"
"4107","88.88","90.09","32.51","12.92","91.31"
"4108","10.42","59.09","76.71","91.76","42.57"
"4109","92.75","1.24","97.1","46.77","21.72"
"4110","88.05","86.77","63.26","66.75","76.01"
"4111","7.24","7.76","22.2","96.33","40.84"
"4112","59.47","76.11","43.99","91.72","62.27"
"4113","31.96","92.6","89.77","60.7","72.17"
"4114","5.66","75.2","67.29","99.47","91.56"
"4115","99.86","72.44","8.91","96.31","63.29"
"4116","52.07","6.94","28.79","68.95","4.31"
"4117","97.4","80.56","32.9","88.3","31.81"
"4118","1.12","86.66","3.08","28.73","71.33"
"4119","67.22","89.05","81.71","76.1","3.22"
"4120","7.61","6.55","94.66","26.38","43.14"
"4121","71.52","46.74","79.39","11.1","28.42"
"4122","2.42","46.53","91.71","98.52","93.67"
"4123","78.84","86.2","5.39","89.62","67.59"
"4124","70.15","55.4","28.14","4.06","62.34"
"4125","31.68","27.85","10.56","80.82","38.37"
"4126","65.88","35.58","74.45","95.87","63.01"
"4127","45.46","55.01","53.03","22.84","4.63"
"4128","14.61","88.62","11.98","98.15","53.48"
"4129","57.75","86.66","42.77","54.66","13.63"
"4130","54.36","63.05","53.59","92.89","55.17"
"4131","18.8","98.88","84.98","0.02","71.77"
"4132","71.48","4.79","90.57","23.44","47.75"
"4133","52.07","92.79","57.02","42.88","0.94"
"4134","52.9","52.51","23.17","41.1","21.75"
"4135","89.47","43.78","94.7","27.85","94.29"
"4136","74.14","59.15","48.22","67.16","77.04"
"4137","30.89","96.45","17.24","75.79","78.79"
"4138","3.26","5.17","6.08","83.43","19.95"
"4139","35.67","33.59","51.82","78.22","76.9"
"4140","72.12","65.14","31.45","16.43","64.77"
"4141","25.12","7.04","60.65","52.26","15.15"
"4142","78.26","78.38","53.03","5.53","24.83"
"4143","58.76","73.84","20.88","30.53","56.61"
"4144","74.21","89.54","6.41","29.32","43.96"
"4145","57.92","39.92","48.35","9.04","99.28"
"4146","73.19","54.82","44.54","64.47","77.5"
"4147","62.78","9.11","26.84","60.27","44.13"
"4148","65.48","57.76","61.31","26.56","50.07"
"4149","43.35","26.48","76.77","89.4","91.7"
"4150","31.55","76.92","3.56","23.76","70.82"
"4151","73.29","99.85","45.12","38.96","58"
"4152","94.63","36.43","63","74.81","75.3"
"4153","76.5","77.53","80.7","8.91","73.58"
"4154","38.31","41.01","26.07","38.23","75.01"
"4155","89.24","6.03","48.29","86.82","94.13"
"4156","39.24","24.47","80.35","37.34","88.83"
"4157","66.95","78.35","24.86","85.32","12.97"
"4158","7.85","96.3","50.03","38.6","28.78"
"4159","70.69","19.04","90.76","93.77","53.47"
"4160","76.23","64.13","0.94","20.35","21.92"
"4161","84.09","62.04","34.09","25.18","54.68"
"4162","17.52","69.86","89.25","23.17","96"
"4163","9.26","6.78","37.79","14.58","0.08"
"4164","91.23","43.08","3.72","30.67","44.26"
"4165","8.94","12.11","56.58","46.12","15.62"
"4166","99.38","89.78","45.6","53.86","2.28"
"4167","0.29","84.75","95.27","14.97","91.73"
"4168","43.95","90.83","95.52","15.24","32.15"
"4169","78.33","15.8","73.53","65.72","24.59"
"4170","35.46","42.77","3.19","90.72","22.49"
"4171","19.99","13.18","38.54","36.34","88.24"
"4172","96.89","52.77","39.69","69.89","49.12"
"4173","30.11","96.08","81","51.8","91.88"
"4174","9.8","84.81","70.81","94.44","34.25"
"4175","99.37","43.4","71.79","54.81","64.37"
"4176","14.56","21.65","8.39","76.05","58.56"
"4177","95.27","2.28","54.78","82.99","6.12"
"4178","58.99","45.44","94.15","62.79","57"
"4179","8.54","35.15","44.24","91.02","60.72"
"4180","57.52","99.73","27.86","64.35","34.13"
"4181","1.76","65.04","66.73","43.81","8.68"
"4182","72.25","68.72","63.8","83.69","62.54"
"4183","34.41","97.18","39.54","77.18","2.99"
"4184","1.52","63.24","52.87","2.05","70.26"
"4185","78.35","88.61","84.54","61.89","67.96"
"4186","71.9","44.58","83.84","51.89","18.88"
"4187","6.4","28.12","99.11","19.64","11.82"
"4188","5.43","91.83","63.3","32.03","9.87"
"4189","49","96.64","29.7","2.15","55.02"
"4190","39.7","37.92","67.75","46.84","79.38"
"4191","33.31","2.01","70.59","93.64","31.54"
"4192","62.02","38.95","48.94","66.71","95.1"
"4193","77.86","37.06","90.8","37.96","42.47"
"4194","26.67","31.88","74.31","63.23","45.89"
"4195","88.52","91.97","60.34","76.84","34.71"
"4196","51.56","5.9","54.37","2.96","14.78"
"4197","16.6","14.97","61.01","74.68","83.69"
"4198","69.71","74.87","24.98","41.24","77.48"
"4199","39.36","66.62","65.15","10.06","32.99"
"4200","47.81","78.5","82.64","0.73","33.92"
"4201","93.92","86","22.21","64.67","9.3"
"4202","24.21","8.78","50.77","7.98","82.69"
"4203","38.86","80.74","13.86","7.38","95.07"
"4204","71.16","59.8","34.13","52.1","2.81"
"4205","79.13","34.38","53.41","43.13","84.82"
"4206","61.69","79.14","45.83","99.34","63.38"
"4207","30.66","96.01","33.74","22.66","90.09"
"4208","95.27","93.62","68.81","8.74","29.82"
"4209","99.29","27.82","80.85","5.62","41.27"
"4210","29.48","73.09","0.68","11.37","38.03"
"4211","59.92","70.49","43.5","46.68","38.81"
"4212","44.1","12.32","13.78","17.47","62.73"
"4213","49.09","48.77","43.7","37.25","62.07"
"4214","85.82","82.98","15.55","46.46","40.9"
"4215","42.28","69.07","94.08","17.2","69.66"
"4216","29.2","91.09","39.73","25.9","61.21"
"4217","37.97","62.46","73.66","0.24","8.22"
"4218","37.51","14.9","85.8","81.33","47.18"
"4219","99.64","91.43","76.68","60.27","23.76"
"4220","60.73","23.85","3.77","11.3","38.11"
"4221","0.63","60.36","12.96","11.52","85.99"
"4222","73.62","2.88","86.99","56.05","5.76"
"4223","97.08","10.02","44.66","43.77","77.68"
"4224","78.26","50.06","64.42","53.99","42.43"
"4225","22.59","30.53","38.26","94.97","85.88"
"4226","75.43","36.96","92.17","48.31","93.44"
"4227","1.35","16.55","67.96","22.96","83.79"
"4228","99.3","30.86","27.53","71.62","64.18"
"4229","14.69","16.11","98.39","54.15","92.15"
"4230","0.99","82.1","52.46","39.64","11.21"
"4231","18.48","41.05","39.53","69.17","38.02"
"4232","57.87","87.96","22.54","4.31","41.1"
"4233","12.81","80.98","56.12","78.97","96.13"
"4234","57.37","30.12","8.35","25.45","19.35"
"4235","14.55","93.33","76.67","84.87","51.8"
"4236","3.27","4.6","57.7","8.55","23.93"
"4237","70.25","28.98","89.82","52.09","69.67"
"4238","99.37","42.99","25.32","26.16","60.68"
"4239","15.37","12.29","85.63","27.78","65.8"
"4240","30.02","61.88","7.97","57.52","15.39"
"4241","52.93","41.23","26.55","76.67","45.61"
"4242","82.34","98.81","84.99","52.08","74.47"
"4243","27.68","64.1","54.09","13.68","93.9"
"4244","89.47","7.7","74.07","12.09","75.54"
"4245","38.83","80.44","1.42","46.43","33.27"
"4246","58.91","25.03","64.48","93.19","75.27"
"4247","90.83","38.83","44.01","27.2","85.16"
"4248","82.7","25.99","19.2","54.58","5.45"
"4249","17.55","81.65","19.53","76.67","57.4"
"4250","61.24","1.67","39.44","46.57","4.89"
"4251","33.9","58.84","50.15","73.43","55.05"
"4252","46.79","71.86","41.64","64.64","54.44"
"4253","62.74","61.52","84.67","90.43","34.58"
"4254","66.18","79.69","35.52","95.7","34.86"
"4255","95.52","48.92","15.17","23.49","82.28"
"4256","24.84","43.62","57.77","49.96","49.98"
"4257","80.58","41.75","20.03","35.7","45.05"
"4258","97.15","20.98","84.4","75.64","89.75"
"4259","46.91","93.5","42.89","68.84","56.57"
"4260","8.28","64.59","71.71","54.62","33.17"
"4261","84.39","6.68","35.71","37.16","75.5"
"4262","87.28","98.39","91.29","91.68","43.28"
"4263","52.25","68.23","61.4","41.88","61.13"
"4264","44.28","31.85","53.77","66.79","3.19"
"4265","34.21","10.69","2.87","55.19","54.76"
"4266","4.18","57.42","26.3","92.53","86.31"
"4267","92.99","42.11","52.69","0.22","54.27"
"4268","43.75","21.49","98.16","88.69","38.73"
"4269","41.88","22.08","6.17","0.73","22.78"
"4270","53.36","99.54","85.49","55.18","56.72"
"4271","37.99","73.35","15.77","87.3","92.34"
"4272","25.05","91.32","48.55","47.54","48.12"
"4273","61.14","13.28","84.94","91.01","95.03"
"4274","9.91","30.01","12.01","3.07","34.25"
"4275","97.84","82.42","84.26","55.96","3.36"
"4276","42.33","1.15","68.03","65.16","26.08"
"4277","78.68","49.15","27.1","50.59","12.86"
"4278","61.9","33.17","30.77","21.79","19.72"
"4279","43.64","84.37","12.12","8.55","89.91"
"4280","55.87","69.48","4.6","49.03","80.67"
"4281","33.14","34.49","8.24","95.48","30.06"
"4282","35.16","47.24","83.31","3.49","62.87"
"4283","42.26","58.53","48.34","67.83","51.28"
"4284","39.37","82.11","16.32","14.07","46.03"
"4285","55.85","45.81","43.55","64.66","30.41"
"4286","37.75","84.01","2.14","4.22","58.84"
"4287","17.73","44.83","78.51","37","15.55"
"4288","7.05","90.79","20.08","57.24","38.4"
"4289","89.28","54.9","71.88","38.48","80.57"
"4290","64.88","81.59","65.28","92.58","44.92"
"4291","9.25","78.14","51.29","74.33","46.64"
"4292","7.3","3.27","73.54","33.76","60.3"
"4293","31.15","61.5","30.55","45.1","42.11"
"4294","91","51.32","59.34","87.37","71.81"
"4295","12.61","30.85","65.32","53.1","73.35"
"4296","11.02","51.59","61.2","23.06","26.2"
"4297","33.96","54.97","72.94","26.75","38.39"
"4298","13.63","83.95","67.7","10.56","84.66"
"4299","62.62","49.4","6.42","81.2","71.02"
"4300","73.77","86.34","64.53","52.52","6.82"
"4301","85.06","50.54","60.26","79.36","58.71"
"4302","87.72","70.58","77.06","33.9","62.18"
"4303","2.54","2.73","28.03","72.62","76.23"
"4304","72.88","72.64","34.07","80.17","29.7"
"4305","30.8","4.49","90.57","96.48","83.93"
"4306","62.83","36.6","37.16","93.15","84.97"
"4307","28.82","65.72","51.41","30.49","69.5"
"4308","84.8","33.84","11.03","16.9","56.93"
"4309","2.33","43.48","56.1","38.57","5.75"
"4310","82.26","46.16","63.76","95.85","44.91"
"4311","6.37","4.42","49.53","69.43","76.03"
"4312","83.99","34.16","34.87","15.86","34.69"
"4313","15.84","50.73","87.86","35.14","55.05"
"4314","78.3","80.94","69.46","2.25","46.22"
"4315","11.68","88.79","32.8","77.19","86.01"
"4316","99.39","23.58","76.01","47.48","51.68"
"4317","74.33","58.21","48.15","82.91","72.01"
"4318","32.81","18.04","62.51","30.09","31.4"
"4319","72.61","39.68","32.28","77.95","59.49"
"4320","36.07","51.01","73.36","20.74","98.33"
"4321","95.28","25.42","40.96","89.47","64.6"
"4322","90.43","49.49","21.31","38.41","55.57"
"4323","55.57","79.92","67.1","31.5","85.62"
"4324","37.43","10.42","72.12","88.97","48.87"
"4325","69.57","61.73","45.4","28.84","3.72"
"4326","2.34","49.99","4.4","51.21","3.4"
"4327","23.66","3.14","31.75","45.53","59.7"
"4328","5.56","6.82","43.96","65.19","16.8"
"4329","16.52","91.67","60.3","47.46","40.89"
"4330","98.74","73.28","51.55","12.65","75.06"
"4331","20.73","10.4","85.38","67.47","23.52"
"4332","74.97","10.07","81.73","97.76","23.79"
"4333","16.14","95.11","64.53","88.75","25.26"
"4334","57.38","98.67","41.27","44.2","60.22"
"4335","79.04","97.18","19.59","57.38","96.66"
"4336","78.97","56.79","19.4","89.35","21.38"
"4337","62.59","38.14","80.34","38.04","64.28"
"4338","22.62","79.68","44.64","21.98","40.37"
"4339","82","82.05","68.28","10.49","90.27"
"4340","36.56","55.69","87.49","7.11","74.91"
"4341","78.09","71.08","58.08","62.35","23.14"
"4342","92.57","37.45","63.26","61.88","17.04"
"4343","37.14","79.13","19.19","67.14","8.5"
"4344","88.94","65.64","4.91","70.3","14.02"
"4345","9.16","22.65","16.08","13.64","70.99"
"4346","14.1","54.6","43.72","33.55","77.78"
"4347","73.39","16.25","3.54","42.49","28.93"
"4348","26.39","47.38","18.79","44.65","53.33"
"4349","79.49","99.17","81.28","98.92","75.88"
"4350","31","33.53","55.49","10.53","58.46"
"4351","42.1","78.36","56.66","91.37","2.53"
"4352","4.28","38.01","56.18","56.89","52.09"
"4353","38.71","32.04","5.81","71.48","62.92"
"4354","71.63","12.2","2.25","9.06","85.33"
"4355","30.04","32.67","54.71","53.61","69.86"
"4356","40.51","77.36","17.49","47.91","46.48"
"4357","46.94","66.08","13.62","38.7","62.18"
"4358","17.34","25.82","8.97","24.68","22.97"
"4359","49.63","84.6","30.46","35.59","8.3"
"4360","20.67","48.3","99.83","50.41","13.95"
"4361","75.38","60.55","79.5","31.1","10.58"
"4362","81.91","64.95","23.46","53.77","84.99"
"4363","1.72","54.51","6.39","62.24","81.09"
"4364","77.07","35.3","49.98","85.41","19.15"
"4365","62.83","24.86","71.25","61.85","98.62"
"4366","63.79","83.9","87.74","90.64","87.31"
"4367","59.35","84.77","45.74","87.46","29.47"
"4368","2.3","85.81","46.38","98.18","50.65"
"4369","85.73","34.82","39.89","56.59","48.92"
"4370","0.51","33.65","88.32","39.11","52.59"
"4371","19.74","83.45","9.46","60.6","86.87"
"4372","57.03","53.2","52.24","22.26","46.25"
"4373","48.05","9.57","68.73","36.34","20.72"
"4374","53.42","84.67","90.64","30.82","70.78"
"4375","32.63","74.97","21.15","19.59","78.48"
"4376","26.18","60.98","88.43","84.93","8.7"
"4377","84.71","5.73","95.41","30.4","90.88"
"4378","42.19","53.87","83.63","75.49","16.01"
"4379","21.43","39.05","51.78","55.05","50.98"
"4380","40.09","8.89","63","45.81","53.25"
"4381","79.33","24.66","11.72","82.3","86.43"
"4382","19.63","35.47","1.46","6.44","5.13"
"4383","37.1","0.87","32.88","80.24","88.1"
"4384","32.47","33.92","97.85","81.93","70.01"
"4385","47.28","82.12","4.21","86.12","55.73"
"4386","25.52","51.18","11.87","41.9","41.05"
"4387","22.2","15.8","4.43","78.29","72.13"
"4388","17.61","0.56","56.77","73.86","90.65"
"4389","65.44","53.53","38.52","52.96","52.17"
"4390","77.01","23.59","91.62","41.63","64.74"
"4391","13.02","12.19","96.17","23.89","33.54"
"4392","77.74","31.49","85.39","72.27","11.59"
"4393","47.28","91.29","18.64","18.95","16.42"
"4394","90.37","57.59","47.62","16.01","92.96"
"4395","40.16","48.24","49.98","71.99","17.54"
"4396","59.94","22.47","94.88","24.76","0.12"
"4397","56.84","17.43","89.97","86.18","12.85"
"4398","45.7","34.48","67.01","41.73","42.96"
"4399","77.4","8.39","34.85","33.19","66.12"
"4400","45.91","20.82","53.26","46.65","41.8"
"4401","37.32","42.18","41.27","36.1","17.28"
"4402","25.16","55.82","56.11","53.86","50.24"
"4403","60.05","14.65","57.6","68.45","62.61"
"4404","66.78","79.4","63.67","46.88","33.31"
"4405","68.9","0.89","75.78","48.31","35.58"
"4406","90.8","56.82","23.3","90.6","15.39"
"4407","67.47","36.18","86.85","2.76","94.67"
"4408","92.81","65.08","4.27","22.97","68.65"
"4409","59.73","58.67","66.97","86.25","34.53"
"4410","31.44","30.97","85.75","41.17","59.29"
"4411","72.38","15.72","50.46","80.15","12.92"
"4412","85.43","10.43","41.4","1.47","46.41"
"4413","67.72","53.46","26.9","94.3","51.33"
"4414","35.56","61.12","72.87","57.81","68.06"
"4415","69.6","58.68","8.93","52.32","95.82"
"4416","91.54","45.71","31.94","81.48","73.82"
"4417","92.16","28.81","15.93","2.29","9.59"
"4418","2.57","89.55","11.69","30.36","86.35"
"4419","26.15","58.68","18.27","19.27","27.6"
"4420","28.69","28.96","62.12","25.25","51.22"
"4421","93.66","55.84","80.15","74.82","38.26"
"4422","4.87","35.41","46.82","77.52","31.66"
"4423","10.2","74.97","85.83","26.55","20.55"
"4424","48.11","93.14","98.82","37.72","39.13"
"4425","86.03","6.12","9.56","15.98","72.05"
"4426","72.23","43.68","71.12","27.83","81.09"
"4427","11.65","99.5","95.31","57.52","59.21"
"4428","41.98","99.28","61.79","96.05","96.34"
"4429","30.41","56.81","63.03","85.93","90.78"
"4430","49.49","81.09","51.41","57.98","71.31"
"4431","20.04","54.05","87.93","56.87","5.61"
"4432","90.59","67.2","21.63","8.71","75.88"
"4433","1.6","53.63","82.22","29.4","46.16"
"4434","75.24","31.46","1.33","19.27","11.63"
"4435","39.66","4.39","70.23","45.93","39.72"
"4436","16.85","44.17","31.75","88.08","28.58"
"4437","70.96","98.22","22.07","49.21","62.4"
"4438","47.86","68.16","9.43","70.39","98.6"
"4439","43.25","53.61","60.9","76.26","72.95"
"4440","95.11","73.92","94.74","30.65","89.53"
"4441","52.54","2.42","76.89","75.8","39.05"
"4442","30.09","37.41","12.18","30.15","35.58"
"4443","41.25","51.38","13.44","69.23","38.51"
"4444","14.16","20.87","26.88","46.3","88.74"
"4445","39.52","39.46","27.54","81.24","96.16"
"4446","79.9","60.96","63.94","28.83","93.02"
"4447","13.91","67.53","32.74","55.97","51.78"
"4448","70.35","93","20.43","81.05","74.84"
"4449","36.28","11.04","44.42","88.07","66.67"
"4450","2.67","51.08","27.34","47.32","37.43"
"4451","70.19","30.02","41.34","27.73","14.6"
"4452","56.02","50.72","32.63","57.04","74.65"
"4453","97.96","13.47","36.79","43.42","56.81"
"4454","90.02","80.9","36","15.45","42.66"
"4455","97.07","14.22","91.94","65.57","74.95"
"4456","35.57","3.27","65.6","30.54","22.36"
"4457","34.62","7.99","3.04","46.5","68.91"
"4458","85.51","73.12","7.61","48.77","17.12"
"4459","70.98","75.56","67.12","98.19","91.01"
"4460","84.86","61.04","11.44","88.93","73.31"
"4461","38.99","63.85","94.47","49.95","78.6"
"4462","39.45","90.22","73.6","99.48","39.29"
"4463","26.35","24.5","55.85","67.55","67.77"
"4464","27.93","28.44","33.51","94.93","49.55"
"4465","55.58","84.77","52.56","84.02","93.98"
"4466","4.1","57.13","9.32","25.42","61.09"
"4467","54.36","4.42","91.1","6.32","96.33"
"4468","84.53","91.53","73.89","58.42","86.16"
"4469","67.93","1.94","78.62","85","13.17"
"4470","79.12","89.25","28.98","26.5","29.48"
"4471","92.83","68.87","16.8","28.25","69.33"
"4472","70.97","57.71","54.82","99.23","38.08"
"4473","51.83","21.61","94.74","53.56","41.4"
"4474","45.66","71.8","11.36","3.8","18.87"
"4475","96.13","55.67","80.17","66.39","79.54"
"4476","22.73","62.77","77.84","73.03","74.75"
"4477","9.38","92.86","13.05","37.45","26.36"
"4478","3.54","16.27","54.31","58.24","96.6"
"4479","41.38","24.72","31.76","20.23","93.61"
"4480","63.06","49.41","93.84","1.8","35.32"
"4481","20.9","12.82","84.44","40.73","22.46"
"4482","46.14","81.05","12.68","75.3","82.32"
"4483","15.96","60.37","52.96","42.3","91.39"
"4484","94.86","80.02","55.55","79.03","2.33"
"4485","2.01","38.26","90","80.91","70.29"
"4486","30.45","47.17","49.93","89.98","27.42"
"4487","25.2","44.1","91.6","78.83","72.79"
"4488","89.25","62.35","99.84","69.15","57.64"
"4489","97.82","79.27","8.25","88.07","16.73"
"4490","43.42","96.97","10.18","10.8","16.18"
"4491","29.94","31.83","0.47","28.11","6.47"
"4492","52.35","40.14","89.52","21.18","88.14"
"4493","92.26","87.18","55.75","37.76","98"
"4494","66.64","36.9","58.74","47.55","45.68"
"4495","3.35","66.31","37.04","82.05","58.42"
"4496","65.34","93.84","49.33","23.57","57.97"
"4497","7.68","40.39","25.49","55.76","7.1"
"4498","84.16","28.97","52.52","68.04","10.74"
"4499","21.97","33.42","11.03","83.97","40.8"
"4500","99.59","77.04","10.77","15.31","51.48"
"4501","43.83","88.99","48.19","60.79","31.5"
"4502","77.05","45.4","60.18","19.18","57.09"
"4503","68.92","6.57","24.19","58.08","33.03"
"4504","15.55","61.97","99.87","17.65","44.11"
"4505","6.56","81.33","62.16","80.57","36.93"
"4506","65.39","61.33","36.51","84.68","52.22"
"4507","90.23","63.24","40.25","33.88","29.35"
"4508","92.26","26.33","19.29","33.24","44.75"
"4509","93.95","38.11","87.12","61.35","87.7"
"4510","65.36","49.77","79","78.75","65.51"
"4511","20.14","13.69","23.65","19.21","43.65"
"4512","50.14","62.11","94.68","32.64","54.74"
"4513","61.55","35.16","72.54","62.65","80.99"
"4514","41.11","79.42","25.23","67.17","74.6"
"4515","91.8","63.53","27.09","73.01","77.67"
"4516","85.88","91.55","12.31","12.38","63.2"
"4517","40.61","43.23","20.48","19.58","7.51"
"4518","2.08","46.12","77.87","9.67","55.36"
"4519","52.29","29.26","46.51","60","85.33"
"4520","96.44","32.16","15.44","14.14","89.18"
"4521","17.11","86.32","81.81","53.85","65.33"
"4522","56.94","73.37","77.83","79.64","15.76"
"4523","71.23","1.16","2.46","82.38","89.42"
"4524","35.79","81.58","93.13","65.18","54.96"
"4525","45.6","18.11","91.04","71.3","43.73"
"4526","87.84","88.33","79.92","79.13","81.93"
"4527","54.05","63.44","53.35","49.58","92.83"
"4528","73.34","97.74","46.72","62.37","56.58"
"4529","43.74","83.1","85.38","50.84","68.05"
"4530","19.74","2.84","82.08","64.73","56.42"
"4531","63.27","84.61","57.19","42.46","65.45"
"4532","55.09","35.8","25.4","92.42","21.37"
"4533","39.74","79.14","28.83","91.57","9.74"
"4534","73.33","56.56","97.01","81.15","85.06"
"4535","61.17","57.92","68.66","53.87","78.31"
"4536","60.41","73.65","9.21","52.39","86.68"
"4537","62.46","94.07","39.7","17.56","9.54"
"4538","10.37","49.14","84.09","78.09","28.47"
"4539","80.52","84.75","70.02","15.97","19.29"
"4540","80.65","23.34","83.57","45.96","64.17"
"4541","66.91","3.1","41.71","60.81","11.41"
"4542","59.31","91.76","9.65","81.66","0.17"
"4543","51.48","30.25","12.92","99.44","72.49"
"4544","54.47","64.25","15.54","49.74","98.75"
"4545","67.87","67.19","0.82","70.11","6.02"
"4546","37.77","10.68","27.89","4.18","13.34"
"4547","67.34","71.6","55.85","46.19","56.15"
"4548","48.04","1.38","61.54","37.85","1.02"
"4549","38.1","59.28","92.35","87.9","85.23"
"4550","51.14","99.96","70.24","82.42","20.39"
"4551","84.25","58.74","80.16","90.82","15.82"
"4552","97.31","28.18","28.06","71.2","16.98"
"4553","85.43","8.32","46.62","46.22","95.94"
"4554","64.72","70.88","12.33","22.44","93.45"
"4555","12.53","7.85","69.71","55.1","37.37"
"4556","38.54","13.61","39.84","37.81","65.94"
"4557","20.4","43.56","69.82","19.24","75.27"
"4558","57.01","24.97","35.23","75.96","68.14"
"4559","9.76","67.37","36.16","99.42","15.85"
"4560","56.98","70.53","61.89","44.09","83.71"
