"id","t1","t2","t3","t4","t5"
"242","84.76","50.41","2.66","70.99","84.82"
"243","93.31","33","18.95","8.06","87.6"
"244","69.58","56.28","99.25","7.51","46.86"
"245","33.42","0.87","17.03","83.33","26.6"
"246","6.76","3.24","22.51","22.72","33.01"
"247","64.7","49.83","50.02","85.03","37.32"
"248","79.56","72.7","72.33","38.39","45.07"
"249","37.7","94.79","36.97","44.77","85.44"
"250","55.95","38.68","22.85","20.84","63.95"
"251","95.63","81.6","49.42","91.51","27.89"
"252","20.92","89.07","36.88","72.81","35.39"
"253","2.1","14.82","66.45","88.78","86.52"
"254","15.28","99.75","19.27","76.09","25.8"
"255","32.75","74.12","48.26","0.64","74.55"
"256","17.4","11.16","10.74","23.91","69.07"
"257","70.91","79.9","52.02","90.94","87.34"
"258","37.1","31.2","63.71","47.82","57.69"
"259","10.06","70.88","15.08","96.18","50.77"
"260","50.81","21.21","71.57","15.72","83.51"
"261","28.2","17.57","98.5","19.46","27.05"
"262","86.92","55.88","77.05","72.32","36.5"
"263","71.44","33.24","52.91","97.37","28.42"
"264","40.87","58.8","99.46","13.46","95.38"
"265","18.67","38.57","60.95","22.55","79.68"
"266","27.57","12.93","39.8","30.96","72.86"
"267","13.33","99.98","52.08","95.87","52.9"
"268","42.69","8.1","38.67","60.98","37.29"
"269","55.68","54.64","17.25","26.49","25.01"
"270","20.16","67.09","25.28","62.07","7.77"
"271","65.14","88.67","25.52","97.06","9"
"272","54.7","36.31","44.76","4.77","18.66"
"273","28.22","85.82","6.67","12.07","7.91"
"274","46.49","4.39","62.13","25.15","41.44"
"275","30.75","88.26","7.53","41.07","26.49"
"276","14.92","95.92","57.2","67.99","31.28"
"277","14.48","76.49","65.41","5.62","33.26"
"278","77.89","56.2","81.74","40.41","54.75"
"279","41.45","75.22","59.67","30.68","16.96"
"280","75.7","68.87","10.18","14.17","6.63"
"281","46.42","74.62","87.7","86.41","5.84"
"282","4.33","35.24","67.69","72.72","58.27"
"283","40.45","44.63","73.25","61.04","88.99"
"284","87.2","9.53","42.29","88.25","26.74"
"285","35.01","43.12","85.91","87.73","94.65"
"286","25.16","42.45","92.16","18.53","21.4"
"287","55.64","0.6","10.5","79.78","46.57"
"288","61.2","26.33","79.16","23.76","27.43"
"289","17.91","23.45","96.89","15.17","14.83"
"290","63.87","8.64","76.21","52.46","99.4"
"291","73.52","90.85","45.64","76.68","24.7"
"292","20.87","2.95","69.65","25.26","62.39"
"293","77.65","74.18","52.61","78.16","26.37"
"294","43.23","73.64","53.88","7.13","62.39"
"295","72.16","10.7","22.43","29.04","56.2"
"296","8.13","80.84","81","38.99","42.3"
"297","69.94","87.8","86.6","38.57","33.2"
"298","6.94","28.19","76.7","12.95","28.92"
"299","29.41","68.95","15.2","30.59","80.75"
"300","54.73","21.3","65.71","12.75","94.4"
"301","9.47","63.92","33.67","61.96","92.28"
"302","49.39","48.79","91.26","55.86","50.04"
"303","62.65","15.45","76.69","47.84","79.97"
"304","92.71","82.1","58","65.32","95.62"
"305","78.19","89.31","60.06","4.94","51.96"
"306","29.23","43.23","88.03","37.25","34.41"
"307","25.4","56.99","72.81","26.54","99.65"
"308","50.93","77.79","22.33","83.39","70.5"
"309","27.84","50.38","63.54","54.72","23.98"
"310","20.04","71.29","40.67","85.81","74.66"
"311","9.31","11.42","22.02","48.03","61.06"
"312","4","55.71","37.69","24.05","16.75"
"313","14.13","26.07","8.55","78.23","93.11"
"314","35.77","76.46","46.74","5.39","82.63"
"315","88.44","51.45","79.31","97.25","62.93"
"316","29.39","56.96","15.31","90.61","94.58"
"317","37.69","42.94","88.32","13.72","30.77"
"318","30.46","6.72","34.34","34.66","29.8"
"319","75.14","49.11","99.02","20.76","37.3"
"320","35.74","9.38","34.85","72.98","29.4"
"321","35.06","61.29","60.54","19.6","63.59"
"322","52.27","81.27","96.74","95.18","21.04"
"323","13.18","58.83","99.65","94.54","91.29"
"324","68.31","95.31","81.1","23.28","22.37"
"325","36.56","45.63","79.75","90.46","68.52"
"326","9.94","73.37","99.15","44.24","58.56"
"327","65.46","23.02","84.49","91.53","82.97"
"328","0.71","15.9","96.92","69.57","31.48"
"329","95.65","70.58","37.29","79.99","50.72"
"330","27.11","89.36","13.48","18.08","81.34"
"331","33.41","35.51","24.74","16.58","53.1"
"332","49.12","8.52","46.25","92.02","63.18"
"333","16.41","24.51","42.07","64.25","53.91"
"334","51.41","42.78","32.66","68.18","88.12"
"335","10.14","41.65","82.36","10.16","80.33"
"336","7.68","12.5","78.91","3.76","61.25"
"337","62.9","18.95","42.34","53.96","77.08"
"338","63.42","99.45","95.62","7.18","13.06"
"339","51.19","48.59","40.29","53.1","65.27"
"340","0.78","49.42","14.72","54.3","34.85"
"341","46.53","60.91","55.14","86.17","33.88"
"342","67.41","96.55","91.36","73.85","33.26"
"343","90.3","19.11","40.77","81.93","63.02"
"344","88.63","27.01","56.98","88","73.22"
"345","9.6","81.19","46.23","42.88","97.09"
"346","57.94","35.11","9.82","92.31","20.51"
"347","96.06","99.23","0.37","72.56","49.11"
"348","75.71","65.05","11.73","73.39","56.57"
"349","87.19","71.67","86.35","65.34","78.68"
"350","62.73","78.35","94.89","37.56","26.88"
"351","13.71","98.03","6.58","97.22","58.6"
"352","87.16","82.13","4.65","3.9","25.15"
"353","99.08","73.89","83.93","47.28","86.55"
"354","23.95","90.81","51.87","69.87","95.96"
"355","18.05","33.1","11.46","34.9","6.75"
"356","4.16","21.28","9.56","67.34","56.32"
"357","55","71.68","76.43","57.43","89.73"
"358","2.17","84.96","31.39","2.98","53.1"
"359","61.22","48.25","45.97","31.5","95.13"
"360","42.4","98.4","19.52","52.17","95.56"
"361","91.58","40.33","0.91","61.55","36.24"
"362","27.13","20.67","64.2","12.16","55.51"
"363","0.44","9.88","64.09","31.35","88.67"
"364","9.71","78.72","24.94","0.58","33.31"
"365","3.5","85.85","42.45","9.04","71.22"
"366","79.83","64.29","97.29","12.14","0.53"
"367","43.53","87.02","88.32","68.04","84.64"
"368","38.75","13.59","94.6","63.07","35.62"
"369","9.77","48.78","23.38","33.82","78.43"
"370","17.98","89.45","10.73","44.18","29.63"
"371","14.36","14.75","88.17","83.57","62.87"
"372","27.35","51.06","50.4","59.43","67.48"
"373","52.28","11.68","32.3","86.76","42.09"
"374","59.67","78.6","8.98","85.22","89.08"
"375","83.77","58.29","17.29","39.28","7.65"
"376","38.16","60.92","69.88","68.63","16.7"
"377","17.37","8.32","95.54","84.15","19.48"
"378","56.98","11.43","34.24","48.7","82.75"
"379","95.05","84.26","62.51","54.2","46.11"
"380","45.25","46.46","45.08","11.66","15.65"
"381","89.74","55.98","51.46","45.99","30.78"
"382","11.68","45.16","8.33","59.78","21.17"
"383","24.49","21.49","99.86","10.74","80.04"
"384","79.69","8.28","75.25","22.85","32.5"
"385","9.39","29.9","44.02","57.12","64.8"
"386","69.59","26.27","47.61","29.8","8.25"
"387","41.73","85.64","56.99","36.24","8.78"
"388","92.48","15.4","26.06","86.31","31.97"
"389","1.52","52.11","35.69","39.4","73.49"
"390","69","96.89","96.63","55.56","80.41"
"391","9.41","3.11","5.45","44.06","36.93"
"392","89.66","40.9","65.16","11.34","26.25"
"393","39.78","79.57","82.62","17.87","55.4"
"394","23.53","98.4","78.28","32.12","66.09"
"395","44.73","27.57","32.82","0.44","78.77"
"396","32.58","16.62","62.76","50.19","91.66"
"397","77.21","96.22","93","64.7","4.36"
"398","22.56","32.61","4.29","60.61","13.45"
"399","9.4","87.17","22.77","73.99","16.74"
"400","38.27","49.73","34.81","93.12","13.48"
"401","81.95","41","2.89","75.73","69.75"
"402","7.11","76.94","28.78","15.01","60.45"
"403","6.43","3.79","14.42","60.12","93.82"
"404","54.3","63.25","24.37","83.83","86.43"
"405","24.74","52.69","84.33","84.1","33.98"
"406","73.33","12.58","38.32","94.43","22.15"
"407","78.57","90.69","75.39","40.65","81.83"
"408","48.43","54.49","55.89","70.81","94.51"
"409","32.45","17.62","82.01","53.07","52.23"
"410","61.01","69.64","35.21","69.6","46.74"
"411","49.13","39.72","63.52","89.54","51.73"
"412","73.11","13.65","16.38","10.15","17.9"
"413","24.8","52.7","10.62","89.4","89.9"
"414","66.7","75.91","74.86","20.35","62.24"
"415","67.19","61.09","36.95","39.29","95.03"
"416","78.44","15.5","21.9","86.85","57.62"
"417","87.57","5.35","21.65","57.69","35.16"
"418","12.34","14.04","89.29","27.49","21.18"
"419","82.18","76.3","24.88","42.52","22.64"
"420","29.17","94.01","5.95","50.27","20.89"
"421","35.86","39.21","45.5","64.96","8.76"
"422","56.98","51.55","64.59","37.96","3.79"
"423","87.29","56.52","60.61","53.52","35.03"
"424","57.7","74.69","25.9","46.47","5.57"
"425","60.56","43.86","78.94","91.59","74.99"
"426","84.65","47.91","15.36","89.69","96.97"
"427","97.46","79.48","58.41","42.79","40.72"
"428","13.3","82.57","49.92","31.62","1.46"
"429","93.2","86.01","2.83","11.67","33.68"
"430","39.96","64.3","39.88","23.83","4.38"
"431","25.21","68.55","39.59","85.21","16.57"
"432","81","35.94","62.21","42.45","50.32"
"433","4.14","28.65","58.56","22.96","19.57"
"434","44.29","98.04","27.31","91.75","50.22"
"435","0.23","74.51","49.95","24.48","5.25"
"436","82.43","12.67","89.57","53.67","24.54"
"437","72.21","39.25","67.56","77.67","80.43"
"438","58.59","70.49","27.42","87.07","63.47"
"439","0.54","50.43","99.53","96.42","47.74"
"440","93.75","53.69","50.77","77.95","52.25"
"441","56.65","19.52","3.95","74.72","88.61"
"442","18.92","71.25","53.18","26.54","29.95"
"443","2.97","56.89","17.38","63.54","29.07"
"444","41.4","51.02","39.36","65.07","86.15"
"445","68.08","19.22","65.07","44.61","12.53"
"446","95.36","64.36","38.61","84.74","31.23"
"447","90.36","73.04","66.11","49.47","37.36"
"448","53.58","11.93","24.99","98.84","88.36"
"449","0.9","85.58","21.43","98.07","75.88"
"450","91.67","87.46","42.97","88.21","97.97"
"451","85.91","20.34","86.73","91.51","49.91"
"452","5.95","87.56","60.02","69.19","79.77"
"453","39.02","77.86","82.42","23.58","84.11"
"454","50.54","52.73","26.64","55.05","21.12"
"455","60.82","96.38","34.58","79.26","87.87"
"456","86.81","37.44","31.04","13.06","70.67"
"457","98.79","37.33","34.91","8.24","18.08"
"458","45.89","19.49","92.6","68.99","40.26"
"459","6.35","60.6","38.54","0.31","68.28"
"460","47.94","67.68","7.79","54","24.1"
"461","21.81","55.68","88.33","24.9","75.32"
"462","23.95","47.21","64.53","15.61","4.82"
"463","12.77","36.53","27.94","54.06","27.97"
"464","35.38","76.26","66.96","6.22","49.37"
"465","87.07","59.89","87.76","7.67","38.03"
"466","42.17","97.63","15.42","53.39","84.96"
"467","85.66","56.37","14.98","96.41","99.49"
"468","31.41","20.18","30.41","46.69","47.54"
"469","88.43","17.33","81.19","89.92","75.53"
"470","87.98","75.08","52.37","35.8","6.54"
"471","90.41","38.21","82.57","57.85","91.22"
"472","91.3","84.08","14.48","11.26","74.82"
"473","57.81","58.49","80.22","53.24","17.32"
"474","78.92","48.8","38.02","66.59","83.15"
"475","0.53","35.92","24.62","2.07","98.44"
"476","10.72","28.65","28.37","96.99","54.6"
"477","34","62.69","8.12","62.39","66.01"
"478","62.72","78.02","0.75","89","31.54"
"479","17.72","67.85","27.8","76.87","88.6"
"480","76.37","40.76","62.01","71.72","38.21"
"481","82.63","64.27","49.9","87.49","32.6"
"482","81.4","10.38","11.33","52.07","79.53"
"483","56.78","10.31","64","82.04","2.89"
"484","90.3","29.71","80.07","69.34","38.09"
"485","10.14","39.49","4.88","86.84","29.81"
"486","93.49","47.79","89.05","21.2","71.88"
"487","23.87","10.87","80.12","24.44","32.16"
"488","6.7","83.75","43.43","96.97","9.5"
"489","76.13","96.73","56.26","60.16","64.34"
"490","79.6","28.06","85.47","81.2","82.81"
"491","11.98","10.74","76.67","38.59","37.89"
"492","76.82","58.38","5.75","71","14.28"
"493","96.41","69.18","96.26","79.32","0.98"
"494","9.76","9.03","8.36","49.73","34.43"
"495","20.62","0.62","15.96","44.23","46.74"
"496","51.35","76.64","76.36","21.49","43.41"
"497","61.37","91.54","19.61","74.39","99.63"
"498","7.43","59.33","95.03","68.56","26.92"
"499","73.83","66.71","44.78","88.97","82.86"
"500","96.06","1.11","71.39","86.05","63.85"
"501","86.66","50","77.82","10.52","16.41"
"502","43.85","62.71","92.3","38.53","84.75"
"503","59.28","9.99","52.28","54.46","26.23"
"504","54.45","8.07","96.19","46.12","49.4"
"505","32.65","90.02","31.43","69.36","41.04"
"506","66.98","28.6","96","46.39","56.71"
"507","53.81","52.68","13.37","20.77","24.34"
"508","82.44","83.47","1.79","22.59","58.07"
"509","54.34","31.12","62.64","30.86","82.15"
"510","92.78","26.24","6.85","43.06","85.61"
"511","17.64","48.81","56.32","41.34","30.8"
"512","34.67","24.05","68.56","27.19","25.75"
"513","74.87","8.05","59.8","12.67","1.31"
"514","75.03","78.01","75.86","4.39","41.96"
"515","95.81","76.52","57.76","56.92","54.86"
"516","56.26","50.57","83.42","98.55","5.52"
"517","67.33","76.84","60.24","96.21","45.94"
"518","69.49","55.38","12.51","79.1","47.03"
"519","27.49","37.39","34.02","2.95","70.56"
"520","83.44","79.25","75.25","23.37","47.5"
"521","35.15","21.71","71.38","72.35","57.02"
"522","54.5","40.55","59.75","56.01","42.73"
"523","68.73","21.63","72.58","28.62","10.61"
"524","43.27","37.53","51.47","23.05","56.52"
"525","45.11","92.04","4.04","77.29","86.28"
"526","83.14","87.23","0.86","97.31","86.73"
"527","42.41","84.62","28.73","93.37","98.33"
"528","62","9.77","52.07","33.98","75"
"529","66.65","61.56","93.14","9.04","35.66"
"530","63.4","64.88","90.66","83.68","31.17"
"531","51.17","2.35","98.78","82.59","3.74"
"532","92.43","96.77","26.54","0.87","6.14"
"533","48.23","41.05","73.86","55.5","80.3"
"534","33.23","69.33","1.12","8.35","1.99"
"535","35.98","87.72","91.51","37.38","24.81"
"536","50.85","84.83","30.16","56.18","39.75"
"537","46.65","63.49","98.74","24.62","69.47"
"538","99.51","27.24","55.69","68.52","75.22"
"539","16.61","21.36","23.79","17.53","54.06"
"540","88.3","94.56","22.5","98.25","71.96"
"541","44.65","10.63","26.41","98.88","21.54"
"542","84.47","12.14","81.15","62.47","96.21"
"543","23.85","66.16","63.48","6","41.48"
"544","56.9","54.64","46.78","38.43","30.57"
"545","28.04","39.8","24.95","24.97","86.81"
"546","97.73","20.53","40.83","66.41","44.42"
"547","71.9","29.34","39.66","22.77","28.45"
"548","76.11","22.56","82.85","37.89","57.07"
"549","65.51","30.53","64","75.93","18.78"
"550","78.79","72.52","98.15","39.93","50.07"
"551","60.82","58.74","81.25","45.75","89.6"
"552","42.3","65.23","81.42","30.88","93.81"
"553","83.12","60.93","13.21","73.91","34.83"
"554","37.06","7.58","36.07","91.74","33.88"
"555","36.68","57.64","59.49","3.93","66.94"
"556","23.73","3.3","87.44","15.07","95.87"
"557","43.8","84.66","93.36","4.04","3.29"
"558","5.46","6.51","32.31","11.66","69.18"
"559","89.66","58.77","73.71","86.67","97.56"
"560","56.34","19.73","23.72","50.47","99.53"
"561","63.17","44.62","52.87","47.57","36.6"
"562","45.93","68.76","80.58","94.28","25.34"
"563","65.52","73.03","18.27","54.24","2.98"
"564","6.54","15.91","77.04","71.47","93.41"
"565","8.47","78.6","32.45","26.55","71.08"
"566","74.17","3.08","67.24","14.18","13.01"
"567","91.44","96.03","7.43","28.17","20.2"
"568","50.49","93.48","17.45","23.98","17.77"
"569","77.79","90.83","70.24","48.85","34.22"
"570","69.05","82.72","82.97","73.16","93.04"
"571","65.16","42.45","86.5","80.76","31.9"
"572","66.93","49.44","97.13","64.06","93.43"
"573","24.61","5.16","5.52","3.95","33.01"
"574","28.19","99.34","90.01","28.86","13.31"
"575","15.92","62.63","28.03","63.98","83.16"
"576","66.72","9.36","62.6","11.73","70.97"
"577","21.16","6.27","93.89","34.89","29.09"
"578","29.38","34.98","92.89","18.14","77.58"
"579","6.01","60.52","92.31","60.37","0.57"
"580","13.59","23.81","34.06","0.93","31.1"
"581","95.95","11.97","81.16","75.03","96.14"
"582","91.74","30.1","60.04","75","93"
"583","15.36","75.03","31.14","85.88","79.32"
"584","96.35","40.31","80.63","30.14","0.91"
